a,XX+a
ai,XX+ai
air,XX+air
an,XX+an
ang,XX+ang
angr,XX+angr
anr,XX+anr
ao,XX+ao
aor,XX+aor
ar,XX+ar
ba,b+a
bai,b+ai
bair,b+air
ban,b+an
bang,b+ang
bangr,b+angr
banr,b+anr
bao,b+ao
baor,b+aor
bar,b+ar
be,b+e
bei,b+ei
beir,b+eir
ben,b+en
beng,b+eng
bengr,b+engr
benr,b+enr
ber,b+er
bi,b+i
bia,b+ia
bian,b+ian
biang,b+iang
biangr,b+iangr
bianr,b+ianr
biao,b+iao
biaor,b+iaor
biar,b+iar
bie,b+ie
bier,b+ier
bii,b+ii
biii,b+iii
biiir,b+iiir
biir,b+iir
bin,b+in
bing,b+ing
bingr,b+ingr
binr,b+inr
biong,b+iong
biongr,b+iongr
biou,b+iou
biour,b+iour
bir,b+ir
bng,b+ng
bo,b+o
bong,b+ong
bongr,b+ongr
bor,b+or
bou,b+ou
bour,b+our
bu,b+u
bua,b+ua
buai,b+uai
buair,b+uair
buan,b+uan
buang,b+uang
buangr,b+uangr
buanr,b+uanr
buar,b+uar
buei,b+uei
bueir,b+ueir
buen,b+uen
bueng,b+ueng
buengr,b+uengr
buenr,b+uenr
buo,b+uo
buor,b+uor
bur,b+ur
bv,b+v
bvan,b+van
bvanr,b+vanr
bve,b+ve
bver,b+ver
bvn,b+vn
bvnr,b+vnr
bvr,b+vr
ca,c+a
cai,c+ai
cair,c+air
can,c+an
cang,c+ang
cangr,c+angr
canr,c+anr
cao,c+ao
caor,c+aor
car,c+ar
ce,c+e
cei,c+ei
ceir,c+eir
cen,c+en
ceng,c+eng
cengr,c+engr
cenr,c+enr
cer,c+er
cha,ch+a
chai,ch+ai
chair,ch+air
chan,ch+an
chang,ch+ang
changr,ch+angr
chanr,ch+anr
chao,ch+ao
chaor,ch+aor
char,ch+ar
che,ch+e
chei,ch+ei
cheir,ch+eir
chen,ch+en
cheng,ch+eng
chengr,ch+engr
chenr,ch+enr
cher,ch+er
chi,ch+i
chia,ch+ia
chian,ch+ian
chiang,ch+iang
chiangr,ch+iangr
chianr,ch+ianr
chiao,ch+iao
chiaor,ch+iaor
chiar,ch+iar
chie,ch+ie
chier,ch+ier
chii,ch+ii
chiii,ch+iii
chiiir,ch+iiir
chiir,ch+iir
chin,ch+in
ching,ch+ing
chingr,ch+ingr
chinr,ch+inr
chiong,ch+iong
chiongr,ch+iongr
chiou,ch+iou
chiour,ch+iour
chir,ch+ir
chng,ch+ng
cho,ch+o
chong,ch+ong
chongr,ch+ongr
chor,ch+or
chou,ch+ou
chour,ch+our
chu,ch+u
chua,ch+ua
chuai,ch+uai
chuair,ch+uair
chuan,ch+uan
chuang,ch+uang
chuangr,ch+uangr
chuanr,ch+uanr
chuar,ch+uar
chuei,ch+uei
chueir,ch+ueir
chuen,ch+uen
chueng,ch+ueng
chuengr,ch+uengr
chuenr,ch+uenr
chuo,ch+uo
chuor,ch+uor
chur,ch+ur
chv,ch+v
chvan,ch+van
chvanr,ch+vanr
chve,ch+ve
chver,ch+ver
chvn,ch+vn
chvnr,ch+vnr
chvr,ch+vr
ci,c+i
cia,c+ia
cian,c+ian
ciang,c+iang
ciangr,c+iangr
cianr,c+ianr
ciao,c+iao
ciaor,c+iaor
ciar,c+iar
cie,c+ie
cier,c+ier
cii,c+ii
ciii,c+iii
ciiir,c+iiir
ciir,c+iir
cin,c+in
cing,c+ing
cingr,c+ingr
cinr,c+inr
ciong,c+iong
ciongr,c+iongr
ciou,c+iou
ciour,c+iour
cir,c+ir
cng,c+ng
co,c+o
cong,c+ong
congr,c+ongr
cor,c+or
cou,c+ou
cour,c+our
cu,c+u
cua,c+ua
cuai,c+uai
cuair,c+uair
cuan,c+uan
cuang,c+uang
cuangr,c+uangr
cuanr,c+uanr
cuar,c+uar
cuei,c+uei
cueir,c+ueir
cuen,c+uen
cueng,c+ueng
cuengr,c+uengr
cuenr,c+uenr
cuo,c+uo
cuor,c+uor
cur,c+ur
cv,c+v
cvan,c+van
cvanr,c+vanr
cve,c+ve
cver,c+ver
cvn,c+vn
cvnr,c+vnr
cvr,c+vr
da,d+a
dai,d+ai
dair,d+air
dan,d+an
dang,d+ang
dangr,d+angr
danr,d+anr
dao,d+ao
daor,d+aor
dar,d+ar
de,d+e
dei,d+ei
deir,d+eir
den,d+en
deng,d+eng
dengr,d+engr
denr,d+enr
der,d+er
di,d+i
dia,d+ia
