ci,cii
chi,chiii
chui,chuei
chun,chuen
cui,cuei
cun,cuen
diu,diou
dui,duei
dun,duen
gui,guei
gun,guen
gen,guen
hui,huei
hun,huen
jiu,jiou
ju,jv
jue,jve
jun,jvn
kui,kuei
kun,kuen
liu,liou
lun,luen
miu,miou
niu,niou
nue,nve
qiu,qiou
qu,qv
que,qve
qun,qvn
ri,riii
rui,ruei
run,ruen
si,sii
shi,shiii
shui,shuei
shun,shuen
sui,suei
sun,suen
tui,tuei
tun,tuen
wa,ua
wai,uai
wan,uan
wang,uang
wei,uei
wen,uen
weng,ueng
wo,uo
wu,u
xiu,xiou
xu,xv
xue,xve
xun,xvn
ya,ia
yan,ian
yang,iang
yao,iao
ye,ie
yi,i
yin,in
ying,ing
yo,iou
yong,iong
you,iou
yu,v
yuan,van
yvan,van
yue,ve
yun,vn
zi,zii
zhi,zhiii
zhui,zhuei
zhun,zhuen
zui,zuei
zun,zuen
